id,mark_x,mark_y
20596831,54%的股权,辽宁民族、香港民族、国贸公司、大和公司、锦冠公司和信添公司
20596831,54%的股权,辽宁民族、香港民族、国贸公司、大和公司、锦冠公司和信添公司
20596831,100%的股权,辽宁民族、香港民族、国贸公司、大和公司、锦冠公司和信添公司
20596831,45%的股权,辽宁民族、香港民族、国贸公司、大和公司、锦冠公司和信添公司
20596831,45%的股权,辽宁民族、香港民族、国贸公司、大和公司、锦冠公司和信添公司
20596831,45%的股权,辽宁民族、香港民族、国贸公司、大和公司、锦冠公司和信添公司
20595617,100%股权,成都能通科技有限公司
20594422,100%股权,科盛环保科技股份有限公司
20594347,80.10%的股权,新疆宜化化工有限公司
20594347,80.10%的股权,大信会计师出具的《新疆宜化化工有限公司审计报告》（大信审字【2018】第2-00941号）
20548497,100%股权,福建和其昌竹业股份有限公司、连城县朝翔竹木有限公司
20548497,70%股权,福建和其昌竹业股份有限公司、连城县朝翔竹木有限公司
20546946,94.4046%股权,梵雅文化
20540642,40%股权,起帆投资有限公司（INITIALPOINTINVESTMENTLIMITED）
20526160,100.00%股权,广东美奇林互动科技股份有限公司
20525891,100%股权,《湖南快乐阳光互动娱乐传媒有限公司审计报告及财务报表》（信会师报字[2017]第ZA23626号）、《上海芒果互娱科技有限公司审计报告及财务报表》（信会师报字[2017]第ZA23630号）、《上海天娱传媒有限公司审计报告及财务报表》（信会师报字[2017]第ZA23629号）、《芒果影视文化有限公司审计报告及财务报表》（信会师报字[2017]第ZA23627号）、《湖南芒果娱乐有限公司审计报告及财务报表》（信会师报字[2017]第ZA23628号）和《湖南快乐阳光互动娱乐传媒有限公司审计报告及财务报表》（信会师报字[2018]第ZA10904号）、《上海芒果互娱科技有限公司审计报告及财务报表》（信会师报字[2018]第ZA10902号）《上海天娱传媒有限公司审计报告及财务报表》（信会师报字[2018]第ZA10905号）、《芒果影视文化有限公司审计报告及财务报表》（信会师报字[2018]第ZA10903号）、《湖南芒果娱乐有限公司审计报告及财务报表》（信会师报字[2018]第ZA10901号）的统称
20525891,100%股权,快乐阳光、芒果互娱、天娱传媒、芒果影视、芒果娱乐的统称
20525891,100%股权,《湖南快乐阳光互动娱乐传媒有限公司审计报告及财务报表》（信会师报字[2017]第ZA23626号）、《上海芒果互娱科技有限公司审计报告及财务报表》（信会师报字[2017]第ZA23630号）、《上海天娱传媒有限公司审计报告及财务报表》（信会师报字[2017]第ZA23629号）、《芒果影视文化有限公司审计报告及财务报表》（信会师报字[2017]第ZA23627号）、《湖南芒果娱乐有限公司审计报告及财务报表》（信会师报字[2017]第ZA23628号）和《湖南快乐阳光互动娱乐传媒有限公司审计报告及财务报表》（信会师报字[2018]第ZA10904号）、《上海芒果互娱科技有限公司审计报告及财务报表》（信会师报字[2018]第ZA10902号）《上海天娱传媒有限公司审计报告及财务报表》（信会师报字[2018]第ZA10905号）、《芒果影视文化有限公司审计报告及财务报表》（信会师报字[2018]第ZA10903号）、《湖南芒果娱乐有限公司审计报告及财务报表》（信会师报字[2018]第ZA10901号）的统称
20525891,100%股权,快乐阳光、芒果互娱、天娱传媒、芒果影视、芒果娱乐的统称
